Index,Data,combo_idx,Nodes,TotalNodes,ObjVal,Crossings,EdgeLength,Runtime,Status
2321,graph_28_20,1,28,45,44.0,11,125,0.14700865745544434,2
2322,graph_28_21,1,28,43,34.0,10,82,0.08757424354553223,2
2323,graph_28_22,1,28,41,36.0,11,146,0.1294841766357422,2
2324,graph_28_23,1,28,43,49.0,11,163,0.09378528594970703,2
2325,graph_28_24,1,28,41,59.0,16,111,0.11973881721496582,2
2326,graph_28_25,1,28,42,33.0,9,146,0.09034013748168945,2
2327,graph_28_26,1,28,42,49.0,16,145,0.23993182182312012,2
2328,graph_28_27,1,28,42,69.0,19,96,0.22936296463012695,2
2329,graph_28_28,1,28,50,23.0,5,99,0.10039925575256348,2
2330,graph_28_29,1,27,38,62.0,9,103,0.08770942687988281,2
2331,graph_28_30,1,28,33,75.0,22,146,0.2475295066833496,2
2332,graph_28_31,1,28,40,80.0,10,97,0.07450509071350098,2
2333,graph_28_32,1,28,46,83.0,25,163,0.43567442893981934,2
2334,graph_28_33,1,28,47,55.0,16,132,0.1433398723602295,2
2335,graph_28_34,1,28,43,92.0,8,162,0.1587388515472412,2
2336,graph_28_35,1,28,49,54.0,10,114,0.1214449405670166,2
2337,graph_28_36,1,28,46,51.0,15,142,1.966803789138794,2
2338,graph_28_37,1,28,46,76.0,19,104,0.25424933433532715,2
2339,graph_28_38,1,28,53,64.0,22,163,0.3297717571258545,2
2340,graph_28_39,1,28,45,198.0,29,173,0.23676156997680664,2
2341,graph_28_40,1,28,47,77.0,25,123,0.25972819328308105,2
2342,graph_28_41,1,28,38,104.0,17,135,0.1288151741027832,2
2343,graph_28_42,1,28,47,132.0,26,245,0.47157955169677734,2
2344,graph_28_43,1,28,49,60.0,20,259,0.338456392288208,2
2345,graph_28_44,1,28,40,79.0,24,157,0.2912898063659668,2
2346,graph_28_45,1,28,57,31.0,10,129,0.08858776092529297,2
2347,graph_28_46,1,28,48,122.0,26,208,0.30794358253479004,2
2348,graph_28_47,1,28,58,95.0,22,160,0.381103515625,2
2349,graph_28_48,1,28,52,97.0,27,168,0.34917187690734863,2
2350,graph_28_49,1,28,58,51.0,13,186,0.29819202423095703,2
2351,graph_28_50,1,28,66,62.0,13,153,0.2426459789276123,2
2352,graph_28_51,1,28,63,53.0,21,150,0.380856990814209,2
2353,graph_28_52,1,28,61,80.0,20,193,0.3387629985809326,2
2354,graph_28_53,1,28,57,71.0,19,166,0.7104032039642334,2
2355,graph_28_54,1,28,62,32.0,9,120,0.15477895736694336,2
2356,graph_28_55,1,28,49,57.0,14,172,0.1487135887145996,2
2357,graph_28_56,1,28,49,271.0,52,248,2.638731002807617,2
2358,graph_28_57,1,28,71,116.0,24,185,0.7942521572113037,2
2359,graph_28_58,1,28,52,165.0,22,286,0.5099153518676758,2
2360,graph_28_59,1,28,75,80.0,16,189,0.40235257148742676,2
2361,graph_28_60,1,28,50,128.0,25,214,0.6428377628326416,2
2362,graph_28_61,1,28,55,140.0,26,205,0.7120048999786377,2
2363,graph_28_62,1,28,68,101.0,31,196,0.9104280471801758,2
2364,graph_28_63,1,28,53,90.0,18,278,0.41302919387817383,2
2365,graph_28_64,1,28,46,221.0,51,179,0.42995119094848633,2
2366,graph_28_65,1,28,58,88.0,24,308,0.7144351005554199,2
2367,graph_28_66,1,28,128,96.0,23,220,0.7998046875,2
2368,graph_28_67,1,28,55,224.0,43,204,0.6818175315856934,2
2369,graph_28_68,1,28,60,256.0,54,347,2.256232976913452,2
2370,graph_28_69,1,28,64,91.0,24,192,0.5484664440155029,2
2371,graph_28_70,1,28,58,197.0,43,291,9.678457021713257,2
2372,graph_28_71,1,28,67,189.0,54,292,4.637784242630005,2
2373,graph_28_72,1,28,66,180.0,38,228,1.41633939743042,2
2374,graph_28_73,1,28,75,198.0,43,249,1.183497428894043,2
2375,graph_28_74,1,28,46,285.0,63,183,0.6652708053588867,2
2376,graph_28_75,1,28,70,243.0,42,221,1.767848014831543,2
2377,graph_28_76,1,28,79,93.0,24,184,0.6086208820343018,2
2378,graph_28_77,1,28,72,193.0,32,238,0.9497065544128418,2
2379,graph_28_78,1,28,60,237.0,43,259,1.4437029361724854,2
2380,graph_28_79,1,28,76,152.0,37,265,1.6746807098388672,2
2381,graph_28_80,1,28,68,144.0,26,266,0.549889326095581,2
2382,graph_28_81,1,28,89,157.0,52,312,2.680542230606079,2
2383,graph_28_82,1,28,62,273.0,59,291,1.422351598739624,2
2384,graph_28_83,1,28,50,303.0,62,197,0.9335241317749023,2
2385,graph_28_84,1,28,78,140.0,37,232,0.7259101867675781,2
2386,graph_28_85,1,28,80,227.0,38,310,2.6719062328338623,2
2387,graph_28_86,1,28,96,193.0,49,317,5.970773458480835,2
2388,graph_28_87,1,28,61,235.0,36,208,0.786252498626709,2
2389,graph_28_88,1,28,73,144.0,43,238,1.07558274269104,2
2390,graph_28_89,1,28,73,193.0,47,286,1.3975296020507812,2
2391,graph_28_90,1,28,75,412.0,82,397,10.481895685195923,2
2392,graph_28_91,1,28,72,184.0,37,383,1.0246553421020508,2
2393,graph_28_92,1,28,76,313.0,69,269,2.4858057498931885,2
2394,graph_28_93,1,28,60,296.0,67,321,2.1926252841949463,2
2395,graph_28_94,1,28,88,139.0,41,295,0.9027812480926514,2
