Index,File,Nodes,Total Nodes,Butterflies,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Work,Nodes visited,Setup Time
45,north/g.21.30.graphml,21,21,0,86,58,165,306,0,0.006,0.0049,1,0.008
46,Rome-Lib/graficon17nodi/grafo2401.17,17,28,1,302,580,910,2827,34,0.175,0.2336,1,0.048
47,north/g.29.13.graphml,29,29,0,326,34,389,1890,0,0.025,0.0347,0,0.035
48,north/g.20.26.graphml,20,20,0,86,264,370,821,9,0.023,0.018,1,0.015
49,Rome-Lib/graficon11nodi/grafo1917.11,11,20,1,82,110,212,408,1,0.007,0.0056,1,0.01
50,Rome-Lib/graficon16nodi/grafo821.16,16,28,0,138,148,314,663,1,0.024,0.0207,1,0.015
51,north/g.26.20.graphml,26,29,0,206,142,377,972,0,0.018,0.0217,1,0.02
52,north/g.14.68.graphml,14,29,0,56,48,133,178,0,0.004,0.0022,0,0.006
53,north/g.27.16.graphml,27,27,0,126,266,419,932,22,0.063,0.0486,1,0.018
54,north/g.18.30.graphml,18,23,2,144,62,229,569,5,0.022,0.0173,1,0.013
55,north/g.25.40.graphml,25,37,0,208,366,611,1399,16,0.118,0.1112,1,0.028
56,north/g.27.7.graphml,27,34,0,142,38,214,400,0,0.008,0.0075,0,0.012
57,north/g.26.4.graphml,26,30,0,162,124,316,747,0,0.014,0.015,1,0.017
58,Rome-Lib/graficon27nodi/grafo248.27,27,38,0,270,302,610,1576,4,0.076,0.0796,1,0.031
59,Rome-Lib/graficon15nodi/grafo2591.15,15,31,0,182,198,411,930,2,0.034,0.0317,1,0.02
60,Rome-Lib/graficon22nodi/grafo2630.22,22,31,0,152,200,383,838,3,0.027,0.0244,1,0.021
61,Rome-Lib/graficon20nodi/grafo2246.20,20,39,0,258,340,637,1535,8,0.06,0.0675,1,0.031
62,Rome-Lib/graficon28nodi/grafo1646.28,28,37,0,132,144,313,564,2,0.019,0.0127,1,0.015
63,Rome-Lib/graficon14nodi/grafo2785.14,14,31,0,68,66,165,235,0,0.005,0.003,1,0.008
64,Rome-Lib/graficon28nodi/grafo1264.28,28,39,0,262,224,525,1341,0,0.023,0.0284,1,0.028
65,north/g.26.9.graphml,26,38,0,162,164,364,695,0,0.011,0.0108,1,0.016
66,Rome-Lib/graficon28nodi/grafo2058.28,28,38,0,112,98,248,393,0,0.006,0.0057,1,0.011
67,Rome-Lib/graficon16nodi/grafo1150.16,16,30,0,106,94,230,392,0,0.006,0.0059,1,0.01
68,Rome-Lib/graficon15nodi/grafo295.15,15,33,0,140,166,339,673,2,0.022,0.0174,1,0.015
69,north/g.22.37.graphml,22,30,0,176,88,294,672,0,0.012,0.0141,1,0.016
70,Rome-Lib/graficon26nodi/grafo1512.26,26,34,0,202,222,458,1034,2,0.04,0.0377,1,0.021
71,Rome-Lib/graficon31nodi/grafo2107.31,31,38,0,124,130,292,497,1,0.016,0.0113,1,0.014
72,Rome-Lib/graficon26nodi/grafo398.26,26,30,0,148,130,308,685,1,0.022,0.0194,1,0.016
73,Rome-Lib/graficon20nodi/grafo2202.20,20,31,0,186,214,431,1004,2,0.035,0.0354,1,0.02
74,Rome-Lib/graficon33nodi/grafo10842.33,33,39,0,204,254,497,1093,2,0.035,0.0332,1,0.023
75,Rome-Lib/graficon24nodi/grafo2923.24,24,33,0,102,104,239,405,1,0.012,0.0088,1,0.01
76,Rome-Lib/graficon21nodi/grafo1927.21,21,43,0,200,208,451,900,0,0.017,0.0168,1,0.02
77,Rome-Lib/graficon27nodi/grafo1997.27,27,40,0,146,140,326,579,0,0.01,0.0091,1,0.015
78,Rome-Lib/graficon20nodi/grafo2213.20,20,49,0,354,362,765,1936,0,0.036,0.0418,1,0.038
