Index,Data,combo_idx,Nodes,Edges,TotalNodes,TotalEdges,ObjVal,Crossings,EdgeLength,Runtime,Status
46,graficon10nodi/grafo465.10,14,10,10,12,12,7.0,0,18.0,0.052072763442993164,2
47,graficon10nodi/grafo466.10,14,10,10,12,12,10.0,0,16.0,0.09583139419555664,2
48,graficon10nodi/grafo473.10,14,10,10,12,12,7.0,0,18.0,0.06515359878540039,2
49,graficon10nodi/grafo474.10,14,10,10,12,12,10.0,0,16.0,0.09449362754821777,2
50,graficon10nodi/grafo513.10,14,10,10,12,12,10.0,0,16.0,0.07782220840454102,2
51,graficon10nodi/grafo541.10,14,10,10,12,12,12.0,0,9.99999999999999,1.8163673877716064,2
52,graficon10nodi/grafo586.10,14,10,10,12,12,7.0,0,18.0,0.05709481239318848,2
53,graficon10nodi/grafo587.10,14,10,10,12,12,10.0,0,16.0,0.10799670219421387,2
54,graficon10nodi/grafo688.10,14,10,10,12,12,7.0,0,18.0,0.060349464416503906,2
55,graficon10nodi/grafo689.10,14,10,10,12,12,10.0,0,16.0,0.09190988540649414,2
56,graficon10nodi/grafo717.10,14,10,10,12,12,7.0,0,18.0,0.04763174057006836,2
57,graficon10nodi/grafo718.10,14,10,10,12,12,10.0,0,16.0,0.06978297233581543,2
58,graficon10nodi/grafo758.10,14,10,10,12,12,7.0,0,18.0,0.05998945236206055,2
59,graficon10nodi/grafo836.10,14,10,10,12,12,7.0,0,18.0,0.030300617218017578,2
60,graficon10nodi/grafo837.10,14,10,10,12,12,10.0,0,16.0,0.11482691764831543,2
61,graficon10nodi/grafo869.10,14,10,10,12,12,7.0,0,18.0,0.057477712631225586,2
62,graficon10nodi/grafo870.10,14,10,10,12,12,10.0,0,16.0,0.07515764236450195,2
63,graficon10nodi/grafo907.10,14,10,10,12,12,7.0,0,18.0,0.047121524810791016,2
64,graficon10nodi/grafo949.10,14,10,10,12,12,8.0,0,12.000000000000007,0.07054972648620605,2
65,graficon10nodi/grafo961.10,14,10,10,12,12,7.0,0,18.0,0.0732114315032959,2
66,graficon10nodi/grafo962.10,14,10,10,12,12,10.0,0,16.0,0.09584832191467285,2
67,graficon10nodi/grafo978.10,14,10,10,12,12,7.0,0,18.0,0.05358529090881348,2
68,graficon11nodi/grafo1004.11,14,11,12,12,13,17.0,0,42.0,4.395331144332886,2
69,graficon11nodi/grafo1005.11,14,11,11,12,12,13.0,0,29.0,1.713679552078247,2
70,graficon11nodi/grafo1162.11,14,11,11,12,12,6.0,0,12.0,0.04905533790588379,2
71,graficon11nodi/grafo1832.11,14,11,12,12,13,18.0,0,22.999999999999993,5.975192546844482,2
72,graficon11nodi/grafo2350.11,14,11,12,12,13,19.0,0,30.999999999999943,5.707719802856445,2
73,graficon11nodi/grafo263.11,14,11,11,12,12,4.0,0,8.0,0.01875138282775879,2
74,graficon11nodi/grafo273.11,14,11,10,12,11,10.0,0,16.0,0.07068443298339844,2
75,graficon11nodi/grafo2953.11,14,11,11,12,12,9.0,0,11.0,0.08227682113647461,2
76,graficon11nodi/grafo533.11,14,11,11,12,12,12.0,0,13.0,0.14298367500305176,2
77,graficon11nodi/grafo740.11,14,11,12,12,13,6.0,1,14.00000000000001,0.04207944869995117,2
78,graficon11nodi/grafo759.11,14,11,12,12,13,11.0,1,18.0,0.0642385482788086,2
79,graficon11nodi/grafo857.11,14,11,11,12,12,20.0,0,19.0,6.962307929992676,2
80,graficon11nodi/grafo988.11,14,11,11,12,12,18.0,1,20.000000000000078,5.190584182739258,2
81,graficon12nodi/grafo1008.12,14,12,11,12,11,6.0,0,12.0,0.03154921531677246,2
82,graficon12nodi/grafo1020.12,14,12,11,12,11,12.0,0,11.0,1.7259290218353271,2
83,graficon12nodi/grafo1068.12,14,12,11,12,11,6.0,0,10.5,0.028844833374023438,2
84,graficon12nodi/grafo122.12,14,12,11,12,11,6.0,0,10.5,0.025130748748779297,2
85,graficon12nodi/grafo144.12,14,12,11,12,11,16.0,0,14.0,2.9133963584899902,2
86,graficon12nodi/grafo223.12,14,12,11,12,11,10.0,0,7.5,0.07427358627319336,2
87,graficon12nodi/grafo252.12,14,12,11,12,11,14.0,0,10.0,1.8830444812774658,2
88,graficon12nodi/grafo256.12,14,12,11,12,11,6.0,0,7.5,0.035399436950683594,2
89,graficon12nodi/grafo259.12,14,12,11,12,11,16.0,0,20.000000000000128,4.346120834350586,2
90,graficon12nodi/grafo2651.12,14,12,13,12,13,18.0,2,24.999999999999922,3.3034417629241943,2
91,graficon12nodi/grafo2810.12,14,12,11,12,11,12.0,0,10.0,1.4911389350891113,2
92,graficon12nodi/grafo2949.12,14,12,11,12,11,8.0,0,10.0,0.05365586280822754,2
93,graficon12nodi/grafo435.12,14,12,11,12,11,6.0,0,12.0,0.027487993240356445,2
94,graficon12nodi/grafo453.12,14,12,11,12,11,6.0,0,12.0,0.026715517044067383,2
95,graficon12nodi/grafo472.12,14,12,11,12,11,10.0,0,7.5,0.08468222618103027,2
96,graficon12nodi/grafo491.12,14,12,11,12,11,6.0,0,12.0,0.036086320877075195,2
97,graficon12nodi/grafo546.12,14,12,11,12,11,10.0,0,6.0,0.07503843307495117,2
98,graficon12nodi/grafo564.12,14,12,11,12,11,6.0,0,12.0,0.031549692153930664,2
99,graficon12nodi/grafo571.12,14,12,11,12,11,6.0,0,7.5,0.041251420974731445,2
100,graficon12nodi/grafo604.12,14,12,11,12,11,12.0,0,14.0,0.08638763427734375,2
101,graficon12nodi/grafo750.12,14,12,11,12,11,10.0,0,6.0,0.05072140693664551,2
102,graficon12nodi/grafo756.12,14,12,11,12,11,10.0,0,7.5,0.08221578598022461,2
103,graficon12nodi/grafo800.12,14,12,11,12,11,6.0,0,10.5,0.040635108947753906,2
104,graficon12nodi/grafo808.12,14,12,11,12,11,10.0,0,6.0,0.061154842376708984,2
105,graficon12nodi/grafo854.12,14,12,11,12,11,20.0,0,20.0,6.485333204269409,2
106,graficon12nodi/grafo867.12,14,12,11,12,11,10.0,0,7.5,0.0868370532989502,2
107,graficon12nodi/grafo895.12,14,12,11,12,11,6.0,0,7.5,0.05393791198730469,2
108,graficon12nodi/grafo906.12,14,12,11,12,11,10.0,0,7.5,0.07690906524658203,2
109,graficon12nodi/grafo933.12,14,12,11,12,11,6.0,0,12.0,0.03497004508972168,2
110,graficon12nodi/grafo954.12,14,12,11,12,11,10.0,0,7.5,0.04400277137756348,2
111,graficon12nodi/grafo986.12,14,12,11,12,11,6.0,0,12.0,0.03038811683654785,2
112,graficon10nodi/grafo254.10,14,10,11,13,14,13.0,0,19.999999999999968,2.4909963607788086,2
113,graficon10nodi/grafo2628.10,14,10,11,13,14,10.0,0,16.0,0.08206558227539062,2
114,graficon10nodi/grafo455.10,14,10,10,13,13,8.0,1,11.0,0.07283926010131836,2
115,graficon11nodi/grafo1019.11,14,11,11,13,13,16.0,0,23.0,3.3366053104400635,2
116,graficon11nodi/grafo1061.11,14,11,11,13,13,18.0,1,20.0,3.572643518447876,2
117,graficon11nodi/grafo1099.11,14,11,11,13,13,11.0,0,9.0,0.0877068042755127,2
118,graficon11nodi/grafo1131.11,14,11,12,13,14,20.0,0,26.5,7.854107618331909,2
119,graficon11nodi/grafo1166.11,14,11,12,13,14,12.0,0,21.0,0.1481475830078125,2
120,graficon11nodi/grafo2433.11,14,11,11,13,13,10.0,0,5.0,1.5013031959533691,2
121,graficon11nodi/grafo2579.11,14,11,11,13,13,10.0,0,5.0,1.4802050590515137,2
122,graficon11nodi/grafo267.11,14,11,11,13,13,11.0,0,19.99999999999998,1.6745903491973877,2
123,graficon11nodi/grafo2673.11,14,11,11,13,13,10.0,0,5.0,1.466540813446045,2
124,graficon11nodi/grafo2714.11,14,11,11,13,13,13.0,1,14.0,0.1934058666229248,2
125,graficon11nodi/grafo2792.11,14,11,11,13,13,10.0,0,5.0,1.4340026378631592,2
126,graficon11nodi/grafo2809.11,14,11,11,13,13,10.0,0,5.0,1.5658950805664062,2
127,graficon11nodi/grafo2812.11,14,11,11,13,13,10.0,0,5.0,1.392441987991333,2
128,graficon11nodi/grafo2935.11,14,11,11,13,13,10.0,0,5.0,1.4379966259002686,2
129,graficon11nodi/grafo2946.11,14,11,11,13,13,10.0,0,5.0,1.464461326599121,2
130,graficon11nodi/grafo2971.11,14,11,11,13,13,10.0,0,5.0,1.4811580181121826,2
131,graficon11nodi/grafo2979.11,14,11,11,13,13,10.0,0,5.0,1.4677724838256836,2
132,graficon11nodi/grafo3073.11,14,11,11,13,13,10.0,0,5.0,1.4398984909057617,2
133,graficon11nodi/grafo3091.11,14,11,11,13,13,10.0,0,5.0,1.3945930004119873,2
134,graficon11nodi/grafo3101.11,14,11,11,13,13,10.0,0,5.0,1.483022928237915,2
135,graficon11nodi/grafo3113.11,14,11,11,13,13,10.0,0,5.0,1.392106533050537,2
136,graficon11nodi/grafo313.11,14,11,10,13,12,16.0,0,15.000000000000018,2.869877815246582,2
137,graficon11nodi/grafo324.11,14,11,11,13,13,13.0,0,17.99999999999993,1.6839346885681152,2
138,graficon11nodi/grafo441.11,14,11,11,13,13,19.0,0,15.999999999999911,5.914448022842407,2
139,graficon11nodi/grafo532.11,14,11,11,13,13,12.0,0,12.0,2.122544050216675,2
140,graficon11nodi/grafo612.11,14,11,11,13,13,9.0,0,22.0,0.06023287773132324,2
141,graficon11nodi/grafo675.11,14,11,11,13,13,11.0,1,19.0,0.1232140064239502,2
142,graficon11nodi/grafo685.11,14,11,11,13,13,18.0,0,27.0,3.548680305480957,2
143,graficon11nodi/grafo748.11,14,11,11,13,13,14.0,0,14.499999999999908,1.6225395202636719,2
144,graficon11nodi/grafo749.11,14,11,10,13,12,13.0,0,10.000000000000007,1.4433479309082031,2
145,graficon11nodi/grafo856.11,14,11,12,13,14,14.0,0,12.0,1.5124404430389404,2
146,graficon12nodi/grafo2439.12,14,12,12,13,13,13.0,0,22.0,1.3323981761932373,2
147,graficon12nodi/grafo2938.12,14,12,12,13,13,15.0,1,9.0,1.339597225189209,2
148,graficon12nodi/grafo436.12,14,12,13,13,14,18.0,1,22.000000000000014,2.3943023681640625,2
149,graficon12nodi/grafo650.12,14,12,11,13,12,15.0,0,17.0,2.382708787918091,2
150,graficon12nodi/grafo667.12,14,12,12,13,13,16.0,0,28.000000000000096,2.115851640701294,2
151,graficon12nodi/grafo824.12,14,12,12,13,13,10.0,0,16.0,0.04764866828918457,2
