Index,Data,combo_idx,ComboIdx,Nodes,TotalNodes,ObjVal,Crossings,EdgeLength,Runtime,Status
425,graph_10_174,3,3,10,20,0.0,15,63,0.016498565673828125,2
426,graph_10_175,3,3,10,15,0.125,12,52,0.0505826473236084,2
427,graph_10_176,3,3,10,18,0.0,23,61,0.01708221435546875,2
428,graph_10_177,3,3,10,16,0.0,3,43,0.010627269744873047,2
429,graph_10_178,3,3,10,23,0.0,37,62,0.06618571281433105,2
430,graph_10_179,3,3,10,23,0.0,38,59,0.08581924438476562,2
431,graph_10_180,3,3,10,21,0.0,1,52,0.014094829559326172,2
432,graph_10_181,3,3,10,19,0.14285714285714257,23,52,0.012585639953613281,2
433,graph_10_182,3,3,10,27,0.0,40,74,0.045461416244506836,2
434,graph_10_183,3,3,10,16,0.11111111111111072,16,48,0.05392050743103027,2
435,graph_10_184,3,3,10,18,0.0,26,52,0.010818719863891602,2
436,graph_10_185,3,3,10,17,0.0,38,64,0.09902620315551758,2
437,graph_10_186,3,3,10,26,0.0,32,66,0.04140138626098633,2
438,graph_10_187,3,3,10,16,0.0,25,38,0.012711048126220703,2
439,graph_10_188,3,3,10,19,0.5714285714285703,13,53,0.09641242027282715,2
440,graph_10_189,3,3,9,28,0.0,23,62,0.021350860595703125,2
441,graph_10_190,3,3,10,22,0.0,37,70,0.06296896934509277,2
442,graph_10_191,3,3,10,23,0.0,41,96,0.0459442138671875,2
443,graph_10_192,3,3,10,15,0.0,18,58,0.009872913360595703,2
444,graph_10_193,3,3,10,19,0.0,27,86,0.02299952507019043,2
445,graph_10_194,3,3,10,33,0.0,48,82,0.13954567909240723,2
446,graph_10_195,3,3,10,29,0.0,42,80,0.07010531425476074,2
447,graph_10_196,3,3,10,18,0.0,16,43,0.009853124618530273,2
448,graph_10_197,3,3,10,17,0.2,9,41,0.030752897262573242,2
449,graph_10_198,3,3,10,21,0.0,13,58,0.015794754028320312,2
450,graph_10_199,3,3,10,27,0.0,35,86,0.02075815200805664,2
451,graph_10_200,3,3,10,21,2.0,10,64,0.04104423522949219,2
452,graph_10_201,3,3,10,27,0.0625,34,84,0.2626652717590332,2
453,graph_10_202,3,3,10,36,0.0,60,114,0.22989273071289062,2
454,graph_10_203,3,3,10,25,0.0,6,42,0.015636205673217773,2
455,graph_10_204,3,3,10,25,0.0625,24,49,0.05835413932800293,2
456,graph_10_205,3,3,10,15,0.5,17,54,0.03451681137084961,2
457,graph_10_206,3,3,9,19,0.0,33,69,0.039339542388916016,2
458,graph_10_207,3,3,10,26,0.0,29,68,0.06145524978637695,2
459,graph_10_208,3,3,10,36,0.0,49,86,0.06286978721618652,2
460,graph_10_209,3,3,10,34,0.0,6,57,0.06181621551513672,2
461,graph_10_210,3,3,10,35,0.0,5,79,0.039243221282958984,2
462,graph_10_211,3,3,10,37,0.0,61,115,15.58961033821106,2
463,graph_10_212,3,3,10,22,0.0,37,107,0.2193622589111328,2
464,graph_10_213,3,3,10,32,0.0,50,107,0.031267642974853516,2
465,graph_10_214,3,3,10,31,0.0,71,101,0.38874220848083496,2
466,graph_10_215,3,3,10,25,0.0,32,60,0.05956745147705078,2
467,graph_10_216,3,3,10,27,0.0,52,119,0.10959005355834961,2
468,graph_10_217,3,3,10,26,0.0,46,102,0.033627986907958984,2
469,graph_10_218,3,3,10,24,0.0,40,82,0.023549556732177734,2
470,graph_10_219,3,3,10,21,0.0,26,64,0.020426511764526367,2
471,graph_10_220,3,3,10,34,0.0,28,81,0.05316877365112305,2
472,graph_10_221,3,3,10,28,0.0,39,102,0.14339351654052734,2
473,graph_10_222,3,3,10,26,0.0,56,107,0.06353402137756348,2
474,graph_10_223,3,3,10,45,0.0,58,117,0.08867549896240234,2
475,graph_10_224,3,3,10,31,0.0,46,75,0.09821033477783203,2
476,graph_10_225,3,3,10,33,0.0,60,129,0.06838059425354004,2
477,graph_10_226,3,3,10,48,0.0,68,144,0.8619081974029541,2
478,graph_10_227,3,3,10,42,0.0,73,120,0.12173151969909668,2
479,graph_10_228,3,3,10,27,0.0,80,106,0.38466882705688477,2
480,graph_10_229,3,3,10,30,0.0,32,82,0.039283037185668945,2
481,graph_10_230,3,3,10,35,0.0,76,164,0.8391153812408447,2
482,graph_10_231,3,3,10,41,0.0,68,140,7.046021461486816,2
483,graph_10_232,3,3,10,50,0.0,99,179,0.17716026306152344,2
484,graph_10_233,3,3,10,44,0.0,51,156,0.45319533348083496,2
485,graph_10_234,3,3,10,39,0.0,19,111,0.0563204288482666,2
486,graph_10_235,3,3,10,34,0.0,61,121,0.07246637344360352,2
487,graph_10_236,3,3,10,55,0.0,168,242,6.986425161361694,2
488,graph_10_237,3,3,10,40,0.0,59,127,0.06730270385742188,2
489,graph_10_238,3,3,10,43,0.0,71,141,0.15834951400756836,2
490,graph_10_239,3,3,10,42,0.0,60,135,0.056175947189331055,2
491,graph_10_240,3,3,10,49,0.0,81,192,0.17043209075927734,2
492,graph_10_241,3,3,10,50,0.0,90,173,0.6150522232055664,2
493,graph_10_242,3,3,10,38,0.0,59,130,0.14481067657470703,2
494,graph_10_243,3,3,10,41,0.0,64,169,1.1313514709472656,2
495,graph_10_244,3,3,10,50,0.0,82,184,0.171661376953125,2
496,graph_10_245,3,3,10,40,0.0,35,142,0.16588330268859863,2
497,graph_10_246,3,3,10,64,0.0,55,167,0.13394951820373535,2
498,graph_10_247,3,3,10,57,0.0,99,259,0.2984638214111328,2
499,graph_10_248,3,3,10,46,0.0,88,174,0.3818840980529785,2
500,graph_10_249,3,3,10,56,0.0,150,266,0.19053435325622559,2
501,graph_15_0,3,3,14,16,0.0,12,39,0.006645679473876953,2
502,graph_15_1,3,3,13,15,0.714285714285714,10,24,0.04029250144958496,2
503,graph_15_2,3,3,14,21,0.0,0,16,0.026955127716064453,2
504,graph_15_3,3,3,13,18,1.0,2,29,0.0180051326751709,2
505,graph_15_4,3,3,13,17,0.0,3,28,0.03284859657287598,2
506,graph_15_5,3,3,15,20,0.0,5,30,0.008156538009643555,2
507,graph_15_6,3,3,14,15,2.220446049250313e-16,10,22,0.022611141204833984,2
508,graph_15_7,3,3,14,22,0.0,0,20,0.008918523788452148,2
509,graph_15_8,3,3,15,19,0.0,0,37,0.008851051330566406,2
510,graph_15_9,3,3,13,23,0.0625,18,54,0.043869972229003906,2
511,graph_15_10,3,3,13,19,0.0,0,33,0.009791374206542969,2
512,graph_15_11,3,3,14,18,0.0,25,46,0.05634784698486328,2
513,graph_15_12,3,3,15,22,0.0,22,51,0.01660943031311035,2
514,graph_15_13,3,3,13,22,0.0,1,33,0.02046060562133789,2
515,graph_15_14,3,3,14,19,0.0,1,41,0.01829218864440918,2
516,graph_15_15,3,3,15,22,0.0,0,43,0.01471090316772461,2
517,graph_15_16,3,3,13,15,0.75,7,20,0.03300356864929199,2
518,graph_15_17,3,3,12,20,0.0,3,22,0.0069732666015625,2
519,graph_15_18,3,3,15,19,0.0,0,23,0.009780168533325195,2
520,graph_15_19,3,3,13,15,0.0,7,36,0.04013419151306152,2
521,graph_15_20,3,3,14,21,0.0,3,36,0.01135873794555664,2
522,graph_15_21,3,3,14,30,0.0,26,67,0.02354264259338379,2
523,graph_15_22,3,3,13,18,0.0,1,32,0.03554534912109375,2
524,graph_15_23,3,3,13,15,0.0,12,41,0.01222085952758789,2
525,graph_15_24,3,3,15,20,0.0,2,29,0.00775456428527832,2
526,graph_15_25,3,3,13,15,0.4285714285714284,16,44,0.030026674270629883,2
527,graph_15_26,3,3,13,16,0.09090909090909083,6,28,0.030684471130371094,2
528,graph_15_27,3,3,14,16,0.09090909090909083,6,45,0.023463964462280273,2
529,graph_15_28,3,3,15,21,0.0,0,35,0.011104345321655273,2
530,graph_15_29,3,3,14,17,0.0,0,35,0.008272886276245117,2
531,graph_15_30,3,3,14,24,0.0,1,18,0.011151790618896484,2
532,graph_15_31,3,3,13,19,0.0,24,51,0.11782574653625488,2
533,graph_15_32,3,3,15,18,0.0,3,47,0.01328730583190918,2
534,graph_15_33,3,3,14,22,0.0,30,48,0.14643287658691406,2
535,graph_15_34,3,3,14,19,0.0,6,30,1.7210752964019775,2
536,graph_15_35,3,3,12,21,0.0,17,48,0.012503862380981445,2
537,graph_15_36,3,3,14,20,0.0,9,30,0.006604194641113281,2
538,graph_15_37,3,3,13,20,0.0,5,35,3.290637969970703,2
539,graph_15_38,3,3,14,16,1.0,3,48,0.00813150405883789,2
540,graph_15_39,3,3,15,17,0.0,3,27,0.011373758316040039,2
541,graph_15_40,3,3,14,22,0.0,6,38,0.1426997184753418,2
542,graph_15_41,3,3,14,17,0.16666666666666666,8,47,0.03753376007080078,2
543,graph_15_42,3,3,15,23,0.0,0,28,0.008949518203735352,2
544,graph_15_43,3,3,13,18,0.0,24,42,0.04321885108947754,2
545,graph_15_44,3,3,14,16,0.2,24,49,0.1997227668762207,2
546,graph_15_45,3,3,14,24,0.0,1,45,0.014107942581176758,2
547,graph_15_46,3,3,14,23,0.0,39,73,0.04527783393859863,2
548,graph_15_47,3,3,14,24,0.0,13,28,0.007155418395996094,2
549,graph_15_48,3,3,14,17,0.0,20,32,0.010518074035644531,2
550,graph_15_49,3,3,13,17,0.0,28,41,0.14163684844970703,2
551,graph_15_50,3,3,14,19,0.0,35,68,0.06664466857910156,2
552,graph_15_51,3,3,15,18,0.0,19,51,0.01158285140991211,2
553,graph_15_52,3,3,14,19,0.0,35,70,0.014160633087158203,2
554,graph_15_53,3,3,14,20,0.0,1,17,0.005849599838256836,2
555,graph_15_54,3,3,13,20,0.1111111111111116,13,37,0.037079572677612305,2
556,graph_15_55,3,3,13,22,0.375,4,53,0.04278111457824707,2
