Index,Data,combo_idx,ComboIdx,Nodes,TotalNodes,ObjVal,Crossings,EdgeLength,Runtime,Status
712,graph_15_211,24,24,15,34,574.4999999999981,32,90.50000000000011,300.4667274951935,9
713,graph_15_212,24,24,15,40,447.00000000000006,13,66.00000000000007,300.53227853775024,9
714,graph_15_213,24,24,15,35,515.9999999999991,14,78.99999999999979,300.21988797187805,9
715,graph_15_214,24,24,15,33,453.5,22,58.5,181.55979824066162,2
716,graph_15_215,24,24,15,41,679.4999999999989,26,111.49999999999905,315.08570194244385,9
717,graph_15_216,24,24,15,39,627.4999995240358,24,87.50000000000085,318.614679813385,9
718,graph_15_217,24,24,15,46,607.9999994285713,16,78.99999999999984,300.4538719654083,9
719,graph_15_218,24,24,15,45,829.999999571062,33,100.00000000000036,300.24276399612427,9
720,graph_15_219,24,24,15,35,588.5000000000013,21,73.50000000000124,300.55271768569946,9
721,graph_15_220,24,24,15,44,688.0,18,83.0,300.62833547592163,9
722,graph_15_221,24,24,15,49,700.9999961329388,21,83.00000061538235,300.2455327510834,9
723,graph_15_222,24,24,15,49,984.4999997204178,40,126.4999999999986,300.2578749656677,9
724,graph_15_223,24,24,15,51,889.4999914634618,36,130.50000047069736,300.525075674057,9
725,graph_15_224,24,24,15,49,712.4999966830663,10,87.50000088767123,300.8055922985077,9
726,graph_15_225,24,24,14,51,907.9999999999429,28,107.99999999994542,300.18319153785706,9
727,graph_15_226,24,24,15,51,785.9999996726983,40,102.00000000000013,300.30470275878906,9
728,graph_15_227,24,24,15,68,888.4999999379999,23,109.5000000000002,300.2049083709717,9
729,graph_15_228,24,24,15,42,791.9999999999969,39,102.99999999999932,300.2698335647583,9
730,graph_15_229,24,24,15,47,848.9999999999854,31,109.9999999999973,300.2197251319885,9
731,graph_15_230,24,24,15,57,1044.0000000000023,39,142.00000000003575,300.1931390762329,9
732,graph_15_231,24,24,15,49,859.9999999999534,33,120.99999999996376,300.3046615123749,9
733,graph_15_232,24,24,15,48,912.9999988491335,33,120.00000028443137,300.61403918266296,9
734,graph_15_233,24,24,15,64,909.0000000000006,14,100.00000000000396,300.2888197898865,9
735,graph_15_234,24,24,15,50,985.4999972066252,20,125.50000031381761,300.19910407066345,9
736,graph_15_235,24,24,15,75,1036.4999995663184,31,107.50000000001127,300.6866874694824,9
737,graph_15_236,24,24,15,54,1145.0,42,165.0,300.2504405975342,9
738,graph_15_237,24,24,15,48,783.9999985322247,42,120.00000000000264,300.3244688510895,9
739,graph_15_238,24,24,15,63,1031.4999999999982,30,132.49999999999994,300.22641491889954,9
740,graph_15_239,24,24,15,67,1181.4999992445814,44,148.50000104469524,300.3816545009613,9
741,graph_15_240,24,24,15,66,1344.4999982890881,48,171.5000003740853,300.2284872531891,9
742,graph_15_241,24,24,15,46,1010.0000000000213,48,145.00000000003683,300.3497633934021,9
743,graph_15_242,24,24,15,96,1638.4999999999995,32,145.50000000000279,300.3726816177368,9
744,graph_15_243,24,24,15,73,1317.4999995716544,55,158.49999999999977,300.6736218929291,9
745,graph_15_244,24,24,15,79,1608.499999803228,45,157.49999999999991,300.3725333213806,9
746,graph_15_245,24,24,15,98,2158.999999999994,65,232.99999999999895,301.48955821990967,9
747,graph_15_246,24,24,15,63,1326.9999998747667,52,160.9999999999981,300.38369035720825,9
748,graph_15_247,24,24,15,64,1618.9999971974953,71,210.99999999999866,300.8104031085968,9
749,graph_15_248,24,24,15,101,2237.999999712227,53,220.00000000000026,300.31740069389343,9
750,graph_15_249,24,24,15,74,1862.999999210961,101,230.9999999999966,300.2188971042633,9
751,graph_20_0,24,24,18,21,173.0,6,25.000000000000004,17.21822476387024,2
752,graph_20_1,24,24,19,21,176.99999930170833,0,18.000000000000007,46.31500577926636,2
753,graph_20_2,24,24,20,22,125.99999999999989,3,19.999999999999954,4.76562762260437,2
754,graph_20_3,24,24,17,23,169.0,5,28.0,13.718451499938965,2
755,graph_20_4,24,24,17,20,172.0,2,28.0,6.836245536804199,2
756,graph_20_5,24,24,17,25,114.5,4,19.5,5.638679265975952,2
757,graph_20_6,24,24,18,26,197.99999705762139,8,35.000001493617106,44.68112635612488,2
758,graph_20_7,24,24,17,20,151.99999999999994,2,20.000000000000007,13.739244937896729,2
759,graph_20_8,24,24,18,21,150.0,1,15.0,13.710307598114014,2
760,graph_20_9,24,24,20,29,161.49999960000008,3,20.50000000000023,33.210137367248535,2
761,graph_20_10,24,24,19,29,249.4999952680213,1,44.49999628393484,56.22732615470886,2
762,graph_20_11,24,24,19,24,220.0,2,27.0,43.838526010513306,2
763,graph_20_12,24,24,18,21,241.99999999999994,6,29.000000000000036,48.812235593795776,2
764,graph_20_13,24,24,19,27,335.5,5,41.5,219.7080419063568,2
765,graph_20_14,24,24,20,24,225.99999999999966,3,31.999999999999925,46.89819622039795,2
766,graph_20_15,24,24,18,26,283.99999871074056,7,34.0000013499958,69.50949025154114,2
767,graph_20_16,24,24,18,21,121.99999999999996,3,23.99999999999997,3.773458480834961,2
768,graph_20_17,24,24,18,22,136.49999999999983,2,16.499999999999886,9.87787675857544,2
769,graph_20_18,24,24,18,23,138.0,5,21.999999999999996,6.991407632827759,2
770,graph_20_19,24,24,17,29,245.5,6,34.5,77.23435068130493,2
771,graph_20_20,24,24,17,24,182.9999995770222,0,29.0,42.687199115753174,2
772,graph_20_21,24,24,17,24,242.49999915990452,5,37.500000000000014,59.94627547264099,2
773,graph_20_22,24,24,19,25,160.99999977043956,3,21.000000245760425,15.12449336051941,2
774,graph_20_23,24,24,20,24,140.99999999999994,3,20.99999999999997,10.819819450378418,2
775,graph_20_24,24,24,17,26,226.0,8,38.0,38.05049180984497,2
776,graph_20_25,24,24,19,28,131.99999935497806,2,20.999999999999993,9.178853511810303,2
777,graph_20_26,24,24,20,24,221.4999991666671,5,17.4999993333341,50.036914110183716,2
778,graph_20_27,24,24,20,24,172.0,2,26.0,17.516910552978516,2
779,graph_20_28,24,24,18,25,175.0,5,27.0,21.632006645202637,2
780,graph_20_29,24,24,18,25,215.5,1,30.5,52.172038078308105,2
781,graph_20_30,24,24,19,24,135.99999999999977,1,19.99999999999979,12.781246185302734,2
782,graph_20_31,24,24,17,23,222.0,7,39.0,33.93667936325073,2
783,graph_20_32,24,24,17,26,258.0,12,35.0,61.706302881240845,2
784,graph_20_33,24,24,17,24,209.49999999999585,3,28.500000000000504,59.15809917449951,2
785,graph_20_34,24,24,16,25,238.0,7,30.0,51.83391070365906,2
786,graph_20_35,24,24,19,30,200.99999966666658,3,28.00000000000009,59.375452756881714,2
787,graph_20_36,24,24,18,31,209.9999985924463,6,23.00000057931295,64.53631925582886,2
788,graph_20_37,24,24,18,24,270.99999999999994,5,34.00000000000037,52.15285634994507,2
789,graph_20_38,24,24,19,34,234.4999991535283,5,36.50000000000001,54.08565020561218,2
790,graph_20_39,24,24,18,24,136.0,2,27.0,9.623861312866211,2
791,graph_20_40,24,24,16,31,292.5,11,47.50000000000001,73.81418538093567,2
792,graph_20_41,24,24,20,27,198.99999999999994,1,26.999999999999993,62.02818274497986,2
793,graph_20_42,24,24,18,28,212.5,6,32.5,46.36118745803833,2
794,graph_20_43,24,24,20,25,287.9999999999999,12,31.99999999999995,62.89334964752197,2
795,graph_20_44,24,24,19,25,239.0000000000013,9,33.00000000000131,47.33897662162781,2
796,graph_20_45,24,24,18,30,292.5,5,33.5,114.22018122673035,2
797,graph_20_46,24,24,17,30,202.49999999999994,5,28.50000000000008,50.64169478416443,2
798,graph_20_47,24,24,19,24,203.49999819999994,5,28.500000600000043,24.314044952392578,2
799,graph_20_48,24,24,18,30,226.99999936581463,3,24.000001581226783,52.06629180908203,2
800,graph_20_49,24,24,19,23,273.499999999999,13,37.49999999999962,40.00437092781067,2
801,graph_20_50,24,24,20,31,369.4999989469509,7,50.49999978503867,300.47974467277527,9
802,graph_20_51,24,24,19,25,244.0,1,37.0,46.29050040245056,2
803,graph_20_52,24,24,19,26,241.9999999999997,7,35.00000000000011,51.09573745727539,2
804,graph_20_53,24,24,18,22,247.49999870575806,11,34.499999680000016,53.80269742012024,2
805,graph_20_54,24,24,19,28,236.99999999999997,6,28.00000000000001,55.03130578994751,2
806,graph_20_55,24,24,19,27,269.0000000000002,6,32.000000000000455,71.43272066116333,2
807,graph_20_56,24,24,19,27,285.9999999999998,9,51.99999999999988,71.52511501312256,2
808,graph_20_57,24,24,18,24,245.0,4,44.0,51.32667660713196,2
809,graph_20_58,24,24,20,30,256.9999962594598,4,41.99999887500006,66.8122148513794,2
810,graph_20_59,24,24,19,29,365.0,11,55.000000000000014,88.52911591529846,2
811,graph_20_60,24,24,19,29,261.99999999999983,2,35.0,37.77857160568237,2
812,graph_20_61,24,24,20,23,213.0,9,25.0,47.011701583862305,2
813,graph_20_62,24,24,16,28,305.99999999999983,12,50.00000000000001,82.35702800750732,2
814,graph_20_63,24,24,19,33,326.0,4,43.0,212.91847586631775,2
815,graph_20_64,24,24,19,28,201.0,6,35.0,21.316181659698486,2
816,graph_20_65,24,24,19,25,258.99999819446464,5,33.00000000000001,55.22115921974182,2
817,graph_20_66,24,24,18,25,204.49999864999995,4,32.50000000000002,48.845232009887695,2
818,graph_20_67,24,24,19,28,156.4999996599709,3,23.5,16.021246194839478,2
819,graph_20_68,24,24,19,31,277.5,2,34.5,116.17538118362427,2
820,graph_20_69,24,24,18,23,282.5,8,44.5,62.656837940216064,2
821,graph_20_70,24,24,19,29,237.99999782358498,10,37.999999872354934,76.19672727584839,2
822,graph_20_71,24,24,18,33,289.5,5,37.5,174.72277188301086,2
823,graph_20_72,24,24,19,26,234.0,4,36.0,66.89378142356873,2
824,graph_20_73,24,24,20,30,308.5,6,43.5,136.20499086380005,2
825,graph_20_74,24,24,20,22,271.9999999999959,18,33.999999999996426,46.80897259712219,2
826,graph_20_75,24,24,17,40,326.50000000000034,10,43.50000000000038,300.2157256603241,9
827,graph_20_76,24,24,17,25,282.9999939459017,7,42.00000127321598,68.70631575584412,2
828,graph_20_77,24,24,19,23,299.99999999997675,12,38.99999999998111,62.160537004470825,2
829,graph_20_78,24,24,19,29,253.49999999999994,8,35.49999999999996,57.85200071334839,2
830,graph_20_79,24,24,20,29,271.0,10,35.0,100.3810727596283,2
831,graph_20_80,24,24,19,32,301.5,12,45.5,149.20182275772095,2
832,graph_20_81,24,24,18,22,238.9999991016631,6,32.00000000000001,20.46418523788452,2
833,graph_20_82,24,24,18,28,272.9999996559874,6,37.999999814971105,62.117024660110474,2
834,graph_20_83,24,24,19,24,291.9999998802397,8,37.0,73.55679273605347,2
835,graph_20_84,24,24,19,31,354.0,5,50.0,168.51323819160461,2
836,graph_20_85,24,24,20,25,262.9999992675992,9,34.99999999999919,50.788320779800415,2
837,graph_20_86,24,24,18,34,295.0,7,38.0,102.39072465896606,2
838,graph_20_87,24,24,19,28,309.99999924999906,13,42.999999624999305,69.4446074962616,2
839,graph_20_88,24,24,19,31,332.0,9,45.0,104.28654885292053,2
840,graph_20_89,24,24,19,28,223.99999949477598,2,29.000000000000014,49.18547058105469,2
841,graph_20_90,24,24,19,28,312.4999982104566,11,49.4999997666238,71.35616898536682,2
842,graph_20_91,24,24,18,31,314.99999975439994,23,47.00000000000001,72.13650965690613,2
843,graph_20_92,24,24,20,31,326.0,7,41.0,158.63204741477966,2
844,graph_20_93,24,24,20,34,275.0,6,39.0,127.2236738204956,2
845,graph_20_94,24,24,18,28,339.9999976127682,12,47.00000034225092,90.06244921684265,2
846,graph_20_95,24,24,20,32,289.0,1,36.0,114.32232451438904,2
847,graph_20_96,24,24,16,29,326.0,12,48.0,91.34471130371094,2
848,graph_20_97,24,24,19,37,388.99999534396954,11,49.000000000000085,300.52460765838623,9
849,graph_20_98,24,24,19,29,357.0,11,38.0,137.78572273254395,2
850,graph_20_99,24,24,19,26,296.5,4,41.5,82.41613912582397,2
851,graph_20_100,24,24,20,31,241.99999999999983,2,35.00000000000008,71.21115946769714,2
852,graph_20_101,24,24,19,32,342.5,10,47.5,150.60585832595825,2
853,graph_20_102,24,24,17,31,384.0000000000066,8,53.000000000013245,300.2470591068268,9
854,graph_20_103,24,24,20,35,331.5,6,37.5,256.8725697994232,2
855,graph_20_104,24,24,19,34,269.49999986619196,3,36.500000000003055,103.88055300712585,2
856,graph_20_105,24,24,20,40,345.0,5,44.0,300.43263363838196,9
857,graph_20_106,24,24,18,31,435.0,16,52.0,257.3757133483887,2
858,graph_20_107,24,24,18,34,414.5,10,58.5,300.5725939273834,9
859,graph_20_108,24,24,18,25,269.9999983342667,21,42.00000000000003,42.429855823516846,2
860,graph_20_109,24,24,18,36,443.9999991725298,8,52.00000000001583,300.3655524253845,9
861,graph_20_110,24,24,19,36,363.0,7,53.0,135.18042254447937,2
862,graph_20_111,24,24,19,24,319.49999278454504,17,50.499994504848324,79.27278065681458,2
863,graph_20_112,24,24,17,34,315.9999995211333,10,45.999999999999986,75.38545632362366,2
864,graph_20_113,24,24,19,35,438.0,15,61.0,300.4177315235138,9
865,graph_20_114,24,24,20,27,321.0,15,47.0,62.74768257141113,2
866,graph_20_115,24,24,18,34,443.4999984999977,14,81.49999925667302,300.36324763298035,9
867,graph_20_116,24,24,20,25,294.0,12,38.0,64.59011483192444,2
868,graph_20_117,24,24,20,28,278.9999990174999,8,43.00000000000001,55.408108711242676,2
869,graph_20_118,24,24,19,28,387.0,13,43.0,173.10534191131592,2
870,graph_20_119,24,24,18,48,400.9999939482176,4,44.00000000000011,300.3147118091583,9
871,graph_20_120,24,24,19,23,318.0,11,54.0,77.02027130126953,2
872,graph_20_121,24,24,17,32,344.0,11,50.0,145.79307293891907,2
873,graph_20_122,24,24,19,36,272.0,5,38.00000000000001,65.51993680000305,2
874,graph_20_123,24,24,20,36,387.49999973333377,17,65.50000000000043,300.27986001968384,9
875,graph_20_124,24,24,20,30,262.49999925806947,12,35.50000000000003,81.37558078765869,2
876,graph_20_125,24,24,20,32,394.0,9,54.0,101.74359464645386,2
877,graph_20_126,24,24,20,37,443.0,9,71.0,300.4758081436157,9
878,graph_20_127,24,24,19,29,336.00000000000085,15,45.000000000001734,79.78834080696106,2
879,graph_20_128,24,24,20,29,331.0,9,40.0,109.85208415985107,2
880,graph_20_129,24,24,18,26,365.0,24,73.0,65.55960178375244,2
881,graph_20_130,24,24,20,35,348.5,8,42.5,140.0315706729889,2
882,graph_20_131,24,24,20,47,312.5,3,36.5,229.24175882339478,2
883,graph_20_132,24,24,19,31,365.0,19,56.0,134.5932867527008,2
884,graph_20_133,24,24,19,34,359.0,9,47.0,180.02909350395203,2
885,graph_20_134,24,24,19,35,369.0,6,38.0,216.89821481704712,2
886,graph_20_135,24,24,20,30,408.0,14,49.0,180.48075652122498,2
887,graph_20_136,24,24,19,26,443.0,29,73.0,110.70583009719849,2
888,graph_20_137,24,24,18,32,347.0,11,53.0,159.85933256149292,2
889,graph_20_138,24,24,19,36,420.999999272134,16,59.99999999999536,300.25067806243896,9
890,graph_20_139,24,24,19,43,494.50000000000017,17,73.50000000000023,300.47269320487976,9
891,graph_20_140,24,24,18,37,403.5,13,56.49999999999999,300.22089982032776,9
892,graph_20_141,24,24,18,42,421.5,8,49.5,300.19762659072876,9
893,graph_20_142,24,24,20,42,417.9999996249982,9,39.999999625001074,300.2433190345764,9
894,graph_20_143,24,24,19,35,392.5,12,55.5,280.10965967178345,2
895,graph_20_144,24,24,19,39,434.99999999999864,17,63.0,300.2304632663727,9
896,graph_20_145,24,24,19,32,370.0,16,53.0,157.57956719398499,2
897,graph_20_146,24,24,19,47,509.999998658284,13,64.0000005248167,300.25218319892883,9
898,graph_20_147,24,24,19,32,520.9999995161281,34,74.99999946264359,300.2703456878662,9
899,graph_20_148,24,24,19,35,384.4999986783938,6,67.49999890146661,300.3633053302765,9
900,graph_20_149,24,24,20,29,400.4999999999998,23,56.499999999999986,81.24884223937988,2
901,graph_20_150,24,24,19,27,324.4999999999945,27,51.499999999998394,65.97902250289917,2
902,graph_20_151,24,24,19,36,430.9999999999999,15,77.99999999999991,300.31182646751404,9
903,graph_20_152,24,24,20,48,518.9999983247053,15,57.000000631720695,300.65027713775635,9
