Index,File,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Work,Nodes visited,Setup Time
85,Rome-Lib/graficon11nodi/grafo1128.11,14,14,42,42,1,0.001,0.0004,0,0.002
86,Rome-Lib/graficon14nodi/grafo944.14,10,4,28,15,0,0.0,0.0002,0,0.001
87,Rome-Lib/graficon13nodi/grafo2415.13,20,18,52,55,0,0.002,0.0006,0,0.002
88,Rome-Lib/graficon14nodi/grafo769.14,18,12,44,39,0,0.002,0.0005,0,0.001
89,Rome-Lib/graficon11nodi/grafo772.11,26,32,72,93,0,0.003,0.0009,1,0.002
90,Rome-Lib/graficon12nodi/grafo352.12,26,24,64,73,1,0.002,0.0009,0,0.002
91,Rome-Lib/graficon13nodi/grafo530.13,44,44,102,132,0,0.002,0.0016,0,0.003
92,Rome-Lib/graficon12nodi/grafo269.12,22,20,56,61,0,0.003,0.0007,1,0.002
93,Rome-Lib/graficon13nodi/grafo1930.13,32,22,68,71,0,0.002,0.001,0,0.002
94,Rome-Lib/graficon14nodi/grafo2339.14,44,58,116,167,0,0.003,0.0018,0,0.004
95,Rome-Lib/graficon14nodi/grafo1065.14,26,18,58,58,0,0.002,0.0008,0,0.002
96,Rome-Lib/graficon14nodi/grafo364.14,26,18,58,58,0,0.001,0.0008,0,0.002
97,Rome-Lib/graficon12nodi/grafo691.12,22,16,52,51,0,0.001,0.0007,0,0.002
98,Rome-Lib/graficon12nodi/grafo2665.12,34,28,76,87,0,0.001,0.0011,0,0.002
99,Rome-Lib/graficon10nodi/grafo2105.10,40,30,84,95,0,0.002,0.0013,0,0.003
100,Rome-Lib/graficon14nodi/grafo371.14,30,22,66,70,0,0.002,0.0009,0,0.002
101,Rome-Lib/graficon11nodi/grafo2931.11,46,48,108,143,1,0.002,0.0017,0,0.004
102,Rome-Lib/graficon11nodi/grafo1629.11,24,10,48,37,0,0.002,0.0007,0,0.002
103,Rome-Lib/graficon12nodi/grafo1843.12,24,26,64,77,2,0.001,0.0008,0,0.002
104,Rome-Lib/graficon11nodi/grafo219.11,28,22,64,69,0,0.002,0.0009,0,0.002
105,Rome-Lib/graficon12nodi/grafo1902.12,52,52,118,156,0,0.005,0.0023,1,0.004
106,Rome-Lib/graficon11nodi/grafo834.11,30,22,66,70,0,0.002,0.0009,0,0.002
107,Rome-Lib/graficon14nodi/grafo345.14,26,18,58,58,0,0.001,0.0008,0,0.002
108,Rome-Lib/graficon11nodi/grafo439.11,36,36,86,108,0,0.002,0.0012,0,0.003
109,Rome-Lib/graficon11nodi/grafo448.11,22,20,57,61,0,0.003,0.0007,1,0.002
110,Rome-Lib/graficon12nodi/grafo2663.12,32,22,69,71,0,0.002,0.0011,0,0.002
111,Rome-Lib/graficon14nodi/grafo367.14,44,52,111,152,0,0.004,0.0019,1,0.004
112,Rome-Lib/graficon12nodi/grafo911.12,40,38,93,115,1,0.004,0.0017,1,0.003
113,Rome-Lib/graficon14nodi/grafo797.14,46,40,101,123,0,0.003,0.0019,1,0.003
114,Rome-Lib/graficon15nodi/grafo735.15,28,24,67,74,0,0.002,0.0009,0,0.002
115,Rome-Lib/graficon15nodi/grafo809.15,34,26,75,82,0,0.002,0.0011,0,0.003
116,Rome-Lib/graficon14nodi/grafo1856.14,34,32,81,97,1,0.003,0.0014,1,0.003
117,Rome-Lib/graficon11nodi/grafo1027.11,44,48,107,142,2,0.004,0.0019,1,0.004
118,Rome-Lib/graficon12nodi/grafo747.12,50,40,105,125,0,0.003,0.0018,0,0.004
119,Rome-Lib/graficon11nodi/grafo177.11,30,26,71,80,0,0.002,0.001,0,0.002
120,Rome-Lib/graficon14nodi/grafo2820.14,30,26,71,80,0,0.002,0.001,0,0.003
121,Rome-Lib/graficon10nodi/grafo2896.10,10,8,33,25,0,0.0,0.0002,0,0.002
122,Rome-Lib/graficon14nodi/grafo536.14,30,20,65,65,0,0.002,0.0009,0,0.002
123,Rome-Lib/graficon14nodi/grafo843.14,64,32,111,112,0,0.003,0.0022,0,0.004
124,Rome-Lib/graficon15nodi/grafo1138.15,16,2,33,13,0,0.001,0.0003,0,0.001
125,Rome-Lib/graficon10nodi/grafo363.10,28,26,69,79,0,0.002,0.0009,0,0.002
126,Rome-Lib/graficon14nodi/grafo2228.14,32,24,71,76,0,0.003,0.001,0,0.002
