Index,File,Nodes,Total Nodes,Butterflies,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Work,Nodes visited,Setup Time
185,Rome-Lib/graficon39nodi/grafo3187.39,39,91,0,924,1124,2139,3272,13,0.183,0.2147,1,0.064
186,Rome-Lib/graficon69nodi/grafo8265.69,69,94,0,1096,1370,2560,3973,14,0.261,0.2873,1,0.079
187,Rome-Lib/graficon49nodi/grafo6445.49,49,90,0,1106,1350,2546,3928,11,0.245,0.3375,1,0.078
188,DAGmar/graphs/4.6/uniform_n20_e92_i9.graphml,20,99,51,3764,8506,12369,23147,1292,60.093,73.1813,1,0.432
189,Rome-Lib/graficon57nodi/grafo4041.57,57,92,0,1010,1114,2216,3290,11,0.228,0.2254,1,0.067
190,Rome-Lib/graficon41nodi/grafo7098.41,41,92,0,1186,1520,2798,4393,33,0.708,0.7283,1,0.087
191,Rome-Lib/graficon38nodi/grafo6889.38,38,94,0,554,658,1306,1922,6,0.091,0.0884,1,0.039
192,Rome-Lib/graficon58nodi/grafo5251.58,58,90,0,1086,1318,2494,3838,15,0.349,0.3486,1,0.085
193,Rome-Lib/graficon37nodi/grafo11284.37,37,101,0,474,538,1113,1582,5,0.07,0.0771,1,0.033
194,north/g.52.2.graphml,52,100,0,356,388,844,1148,0,0.017,0.0163,1,0.024
195,Rome-Lib/graficon44nodi/grafo3449.44,44,103,1,1226,1480,2809,4313,13,0.241,0.2743,1,0.087
196,Rome-Lib/graficon54nodi/grafo3926.54,54,106,0,926,1166,2198,3378,17,0.218,0.2148,1,0.068
197,Rome-Lib/graficon56nodi/grafo4651.56,56,101,0,1504,2062,3667,5907,31,0.603,0.6665,1,0.116
198,Rome-Lib/graficon50nodi/grafo3744.50,50,109,0,1024,1378,2511,3957,24,0.921,0.8701,1,0.078
199,Rome-Lib/graficon46nodi/grafo5473.46,46,106,0,1258,1546,2910,4494,17,0.336,0.3228,1,0.119
200,Rome-Lib/graficon56nodi/grafo1205.56,56,100,0,1168,1560,2828,4484,26,0.482,0.575,1,0.086
201,Rome-Lib/graficon47nodi/grafo6574.47,47,105,0,1116,1292,2513,3788,17,0.449,0.4705,1,0.077
202,Rome-Lib/graficon58nodi/grafo4258.58,58,108,0,1466,1832,3406,5313,20,0.654,0.6808,1,0.107
203,Rome-Lib/graficon45nodi/grafo6438.45,45,105,0,1056,1266,2427,3693,9,0.234,0.2633,1,0.075
204,Rome-Lib/graficon58nodi/grafo1501.58,58,108,0,718,858,1684,2504,5,0.068,0.0636,1,0.079
205,north/g.96.4.graphml,96,106,0,2244,610,2960,2647,0,0.145,0.1571,1,0.087
206,Rome-Lib/graficon54nodi/grafo6650.54,54,108,1,1136,1320,2564,3868,10,0.248,0.2428,1,0.078
207,Rome-Lib/graficon54nodi/grafo5272.54,54,113,0,1746,2470,4329,7048,40,1.311,1.4145,1,0.136
